id,codigo,bairro,area_m2,lon,lat,area_km2
1,752,CURADO,8255773.76002556,284106.88438289054,9107280.977566062,8.25577376002556
2,396,DOIS UNIDOS,3118839.774926752,289192.0177584612,9115400.12590137,3.118839774926752
3,132,AFLITOS,307461.169185802,291010.13775674993,9110768.55222186,0.30746116918580196
4,906,SANCHO,632459.244913296,283832.070608236,9105806.723929273,0.632459244913296
5,736,VARZEA,22391160.102449104,282200.16896533465,9109824.754659735,22.391160102449103
6,60,COELHOS,421320.59281945653,291752.9442795796,9107734.04996881,0.42132059281945655
7,299,PEIXINHOS,339009.81802647165,293151.0915244881,9113120.244813822,0.3390098180264717
8,35,SAO JOSE,2486430.1323981504,292140.52622836636,9107105.66491045,2.4864301323981506
9,27,SANTO ANTONIO,838233.9434930369,292980.71046867967,9108223.04248779,0.8382339434930369
10,19,RECIFE,3140027.4736043527,294108.2267251405,9109383.88896221,3.1400274736043525
11,302,HIPODROMO,304716.2559655733,291939.93386468367,9111685.273597315,0.3047162559655733
12,183,ROSARINHO,255200.88309257646,290897.29468055774,9111632.62042848,0.25520088309257644
13,310,CAMPINA DO BARRETO,538722.7300657794,292598.84435494855,9113317.259680266,0.5387227300657794
14,442,CASA FORTE,559328.0363074006,288550.6809757373,9111463.63089418,0.5593280363074006
15,469,PARNAMIRIM,613911.3152803485,289382.59475693124,9111434.120683013,0.6139113152803485
16,418,GUABIRABA,46063553.42573804,284674.44587983517,9119798.9173466,46.063553425738036
17,43,ILHA JOANA BEZERRA,1163965.6331219506,290730.01572258124,9107394.49532942,1.1639656331219506
18,51,CABANGA,799187.2368945961,291183.4922519711,9106340.952047028,0.7991872368945961
19,78,ILHA DO LEITE,257456.29036329535,291239.1733716328,9108012.304400677,0.25745629036329537
20,639,PAU FERRO,600775.3556707497,282590.1358137777,9118828.943063382,0.6007753556707497
21,795,MANGUEIRA,309291.7574232037,288340.55007265275,9106723.100611083,0.3092917574232037
22,108,SANTO AMARO,3746343.79294357,292866.1016894058,9109927.461787732,3.74634379294357
23,86,BOA VISTA,1704616.571084735,291696.69303103123,9108770.867609886,1.704616571084735
24,124,ESPINHEIRO,760525.821792617,291554.73240481445,9110380.386729103,0.760525821792617
25,140,DERBY,482619.14804541896,290600.3169068052,9109032.925224748,0.48261914804541894
26,450,SANTANA,469792.8769871945,288909.5667662073,9110762.915383322,0.4697928769871945
27,94,PAISSANDU,371935.4564081289,290812.02100719174,9108165.081220813,0.3719354564081289
28,914,TOTO,139013.84514483783,283085.33773241215,9106077.547390008,0.13901384514483783
29,167,GRACAS,1442259.7763225224,290601.0485895372,9110164.992711157,1.4422597763225224
30,655,TORRE,1189278.608205343,289509.9889031589,9110386.162860531,1.1892786082053428
31,329,ARRUDA,1003686.8645161415,291692.6713704613,9112509.714162473,1.0036868645161414
32,710,ENGENHO DO MEIO,867089.7193572975,285903.84757351823,9108975.926871477,0.8670897193572975
33,353,CAJUEIRO,572914.0580191693,292210.8349242538,9113968.324796619,0.5729140580191693
34,671,ZUMBI,405604.49787890475,288675.4367790747,9109365.262626722,0.40560449787890474
