id,codigo,bairro,area_m2,lon,lat,area_km2,bairro_key,populacao,domicilios,v0003,v0004,media_moradores
47,647,MADALENA,1803674.5619029268,289697.1757530144,9109212.492962098,1.8036745619029269,MADALENA,25832,11785,11773,12,"2,6"
48,116,SOLEDADE,322415.9302121256,291707.24414374784,9108936.588501714,0.3224159302121256,SOLEDADE,2081,1553,1545,8,"1,9"
49,701,TORROES,1651615.6954021049,286585.1518370011,9108391.111789139,1.6516156954021048,TORROES,31130,12434,12432,2,"2,8"
50,698,IPUTINGA,4361473.95683107,286612.6744190795,9111192.534060802,4.36147395683107,IPUTINGA,49944,21724,21710,14,"2,7"
51,817,SAN MARTIN,2003059.756727515,287406.38612051884,9107529.597060228,2.0030597567275152,SAN MARTIN,23074,9496,9494,2,"2,8"
52,400,PASSARINHO,3926297.833400731,288252.452630371,9117443.561112525,3.926297833400731,PASSARINHO,24306,9764,9763,1,"2,9"
53,868,JARDIM SAO PAULO,2581150.1469351565,285771.4744469894,9106124.42050203,2.5811501469351565,JARDIM SAO PAULO,29996,13160,13160,0,"2,7"
54,850,AREIAS,2416967.99657442,287137.30882459634,9104682.051036647,2.41696799657442,AREIAS,26740,11356,11352,4,"2,8"
55,892,TEJIPIO,984454.3264670983,284261.0137448757,9105247.197489586,0.9844543264670983,TEJIPIO,9835,4571,4571,0,"2,6"
56,680,CORDEIRO,3394440.8870718996,287606.98842581984,9109657.415714042,3.3944408870718994,CORDEIRO,37660,16252,16241,11,"2,7"
57,876,BARRO,4416325.190031344,284944.2384816148,9104242.39850921,4.416325190031344,BARRO,30565,12864,12860,4,"2,8"
58,833,ESTANCIA,797748.6323199249,287270.04778234643,9105883.386349814,0.7977486323199249,ESTANCIA,7408,3323,3321,2,"2,7"
59,345,FUNDAO,624510.8619594714,291566.710732108,9113639.707636496,0.6245108619594714,FUNDAO,7793,3209,3209,0,"2,8"
60,922,COQUEIRAL,538551.2726890474,283065.42602382693,9105530.725468691,0.5385512726890473,COQUEIRAL,9427,4189,4189,0,"2,7"
61,477,POCO,785614.715561111,288037.1967564451,9111274.835199969,0.785614715561111,POCO,5542,2215,2214,1,"2,8"
62,744,CAXANGA,2463708.8485327596,284885.08279009507,9112188.365826922,2.4637088485327596,CAXANGA,13813,6175,6173,2,"2,7"
63,604,SITIO DOS PINTOS,2077885.8497833568,284133.63225327845,9113764.825098464,2.0778858497833568,SITIO DOS PINTOS - SAO BRAS,7996,3656,3655,1,"2,7"
64,370,BEBERIBE,489843.2741851497,290977.4324514716,9114636.188289428,0.4898432741851497,BEBERIBE,7089,2936,2936,0,"2,7"
65,426,BOMBA DO HEMETERIO,434135.75518360385,290397.20448165893,9112899.999926236,0.43413575518360387,BOMBA DO HEMETERIO,7728,3035,3035,0,"2,9"
66,515,MANGABEIRA,286037.92162089254,290282.14285159117,9112508.148122553,0.28603792162089253,MANGABEIRA,6397,2630,2629,1,"2,7"
67,434,CASA AMARELA,1885016.413878547,288713.8879233319,9112319.732982956,1.885016413878547,CASA AMARELA,32450,14083,14076,7,"2,6"
68,388,LINHA DO TIRO,820199.8251346773,290031.8769118584,9114208.232294826,0.8201998251346774,LINHA DO TIRO,14202,5622,5622,0,"2,9"
69,175,ENCRUZILHADA,1016091.8930789686,291604.4289383867,9111266.952312948,1.0160918930789686,ENCRUZILHADA,15249,6868,6853,15,"2,6"
70,256,BRASILIA TEIMOSA,1466766.0077106345,293073.6310080603,9106380.970851926,1.4667660077106346,BRASILIA TEIMOSA,16685,7028,7028,0,"2,7"
71,248,PINA,6632740.722357045,291292.6163200172,9104827.935450232,6.632740722357045,PINA,29195,13954,13939,15,"2,5"
72,612,BREJO DA GUABIRABA,724219.15569972,286940.1650672703,9116010.114558116,0.7242191556997201,BREJO DA GUABIRABA,10620,4475,4475,0,"2,8"
73,760,ILHA DO RETIRO,528214.2164426788,290089.73114795616,9108127.99576972,0.5282142164426789,ILHA DO RETIRO,3946,1655,1655,0,"2,8"
74,787,MUSTARDINHA,631400.9146914985,288481.4266032523,9107300.238510855,0.6314009146914985,MUSTARDINHA,10642,4350,4349,1,"2,8"
75,230,IBURA,10187462.794304948,287093.5591948166,9101916.763657173,10.187462794304949,IBURA,45448,19061,19057,4,"2,8"
76,540,ALTO JOSE BONIFACIO,569370.9513255627,289168.9126471232,9113735.439975128,0.5693709513255627,ALTO JOSE BONIFACIO,10365,4028,4028,0,"2,9"
77,493,ALTO DO MANDU,251727.53648236525,287515.4274080543,9112780.33499258,0.25172753648236523,ALTO DO MANDU,4221,1697,1696,1,"2,8"
78,531,MORRO DA CONCEICAO,380832.64027189394,289017.9439796202,9113032.941998143,0.38083264027189395,MORRO DA CONCEICAO,8217,3298,3297,1,"2,8"
79,523,ALTO JOSE DO PINHO,421711.49046224245,289668.8822236592,9112763.219188452,0.42171149046224243,ALTO JOSE DO PINHO,11313,4352,4351,1,"2,9"
80,558,VASCO DA GAMA,1606592.1800012882,288461.2497374925,9113883.398205113,1.6065921800012881,VASCO DA GAMA,26631,10773,10773,0,"2,8"
81,205,BOA VIAGEM,8338924.6113279285,290342.70041614136,9101077.69045916,8.33892461132793,BOA VIAGEM,125805,62639,62388,251,"2,5"
82,949,ALTO SANTA TEREZINHA,306248.48534439056,289699.694258389,9113471.422659842,0.3062484853443906,ALTO SANTA TEREZINHA,6620,2611,2611,0,"2,9"
83,582,MACAXEIRA,1247387.69550118,287223.9764417586,9113893.711409122,1.24738769550118,MACAXEIRA,20126,7843,7843,0,"2,9"
84,574,BREJO DE BEBERIBE,643495.9242467297,288015.8486209341,9115376.931843337,0.6434959242467297,BREJO DE BEBERIBE,7738,3234,3234,0,"2,8"
85,566,NOVA DESCOBERTA,1825477.4509757373,287508.25138000445,9114666.5351263,1.8254774509757372,NOVA DESCOBERTA,28697,11904,11904,0,"2,8"
86,485,MONTEIRO,543198.3003540612,287375.96249382925,9112296.499722984,0.5431983003540611,MONTEIRO,6738,2603,2602,1,"2,9"
87,280,CAMPO GRANDE,2210588.664751985,292842.2982446738,9111821.905894674,2.210588664751985,CAMPO GRANDE,31783,13185,13178,7,"2,7"
88,337,AGUA FRIA,1928914.6636436936,290971.81224515615,9113394.681291532,1.9289146636436936,AGUA FRIA,39012,15328,15328,0,"2,9"
89,264,IMBIRIBEIRA,6662202.513098866,289343.70306033455,9103573.365800187,6.662202513098865,IMBIRIBEIRA,52158,22330,22318,12,"2,7"
90,825,JIQUIA,1705696.3986994284,287940.5868781057,9105854.747574696,1.7056963986994285,JIQUIA,12051,5295,5295,0,"2,8"
91,779,AFOGADOS,3385466.388815233,289357.66143798473,9106629.615735872,3.385466388815233,AFOGADOS,31457,13930,13926,4,"2,7"
92,507,APIPUCOS,1265252.1299314178,286474.5531262822,9113126.005210547,1.2652521299314177,APIPUCOS,2523,991,990,1,"2,9"
93,620,CORREGO DO JENIPAPO,570281.9922783255,286551.5655345066,9114915.612714589,0.5702819922783254,CORREGO DO JENIPAPO,8086,3406,3406,0,"2,8"
94,930,PONTO DE PARADA,185225.9975644586,291411.3900183291,9111960.64137367,0.18522599756445862,PONTO DE PARADA,2382,1053,1053,0,"2,6"
95,884,COHAB,4354247.490897032,284975.42288103455,9101579.299600765,4.354247490897032,COHAB,62632,25723,25719,4,"2,9"
